,Day,Week,Period,LogBook,Topic,Images,Links
25,10/06/2026,Week 9,Period 2,Software foundation complete. Shifting to hardware. Sent initial CAD files to the Prusa 3D printers for the first PoC cartridge and sled.,Manufacturing,,
26,15/06/2026,Week 10,Period 1,Removed 3D prints from the bed. Conducted a physical tolerance test with a real bandage packet. Found the sled was too tight.,Testing & Debugging,,
27,18/06/2026,Week 10,Period 4,Term 2 ends. Documenting the networking errors and the sled tightness issues into the official Project Fix Log.,Folio Documentation,,
28,15/07/2026,Week 1,Period 2,Term 3 starts. Adjusted Fusion 360 parameters for the sled width. Discovered the gear rack wasn't long enough to push the bandage fully out.,CAD Refinement,,
29,20/07/2026,Week 2,Period 1,Extended the gear rack length in CAD to 110mm. Designed a custom involute pinion gear specifically matched to the FS90R servo spline.,CAD Refinement,,
30,23/07/2026,Week 2,Period 4,"Printed the new elongated rack and custom pinion gear. Assembled the physical mechanism. Slides smoother, but teeth are skipping.",Manufacturing & Assembly,,
31,29/07/2026,Week 3,Period 2,"Debugging gear alignment. The custom pinion gear is slightly too small, causing it to slip on the rack under load.",Testing & Debugging,,
32,31/07/2026,Week 3,Home,"Currently adjusting the module (mod) spacing of the involute gear in Fusion 360 to ensure tighter meshing with the rack before next test.",CAD Refinement,,
33,4/08/2026,Week 3,Period 2,"Used a custom Python script (generate.py) via Fusion 360 API to parametrically extend the linear rack from 95mm to 120mm (26 teeth).",CAD Refinement,Figure 5,
34,6/08/2026,Week 3,Period 4,"Printed the elongated rack and new 12-tooth pinion. Tolerance is perfect (1.5mm). Rack now achieves 118.5mm of linear stroke.",Manufacturing & Assembly,Figure 2,
35,10/08/2026,Week 4,Period 1,"Latency issues detected with Python on Pi 4 during 16kHz audio downmixing. Decided to upgrade hardware to Raspberry Pi 5 (8GB) for multi-core headroom.",Hardware Upgrade,,
36,13/08/2026,Week 4,Period 4,"Scrapped Python architecture. Rewrote main logic in Rust (2024 Edition). Achieved sub-microsecond JSON deserialization and eliminated garbage collection spikes.",Software Development,Figure 1,
37,17/08/2026,Week 5,Period 2,"Updated Arduino C++ firmware. Added 'servo.detach()' after the push/retract cycle to completely eliminate idle micro-jitter and coil heating.",Software Development,Figure 4,
38,20/08/2026,Week 5,Period 4,"Fabricated 5V 3A power distribution rail with 1000uF decoupling capacitors. Wore safety glasses and used fume extractor to comply with OH&S.",Electronics Assembly,Figure 3,
39,25/08/2026,Week 6,Period 1,"Consolidated from 3 to 2 cartridges (Bandages & Alcohol). De-scoped plywood chassis for an Open-Frame Benchtop Test-Rig to allow easy diagnostic probing.",System Integration,,
40,28/08/2026,Week 6,Period 4,"Completed physical assembly of the open-frame rig. Mounted the Pi 5, Arduino Uno, and both PLA cartridges. Wired up the star-ground configuration.",System Integration,"Figure 6, Figure 9",
41,1/09/2026,Week 7,Period 2,"Diagnostic Test 2: Ran automated Python protocol suite (48/48 passed). Tested Gemini Vision logic with 10 images (100% on clear, 0% on blur).",Diagnostic Testing,"Figure 13, Figure 14",
42,3/09/2026,Week 7,Period 4,"Diagnostic Test 3: Mechanical ejection. 80% success rate (2 jams). Identified friction issue at the 2.5mm slit. Planned to widen slit and sand baseplate.",Diagnostic Testing,"Figure 15, Figure 16",
43,7/09/2026,Week 8,Period 1,"Diagnostic Test 1: End-to-end latency testing. Mean response 15.1s. Transitioned Pi 5 to a dedicated 5GHz mobile hotspot to bypass school Wi-Fi firewall latency.",Diagnostic Testing,Figure 12,
44,9/09/2026,Week 8,Home,"Compiled test data, populated Criteria Evaluation matrices, and finalized the Plan vs Reality comparison for the Part B folio.",Folio Documentation,,
45,11/09/2026,Week 8,Period 2,"Filmed final full-loop operational trial video. Formatted references and Generative AI prompts into Appendix A. Final PDF export for submission.",Folio Documentation,Figure 11,
